batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,0.051296700003149454,0.001401000001351349,0.0013015000004088506,0.0008660999956191517,"[0, 0, 0]",svm,mini,True
1,0.005279999997583218,0.0013585999986389652,0.00155570000060834,0.000781399998231791,"[0, 0, 0]",svm,mini,True
1,0.0027572999970288947,0.00138159999914933,0.001384999995934777,0.000738300004741177,"[0, 0, 0]",svm,mini,True
1,0.003027500002644956,0.0014238000003388152,0.0013483000002452172,0.006910799995239358,"[0, 0, 0]",svm,mini,True
1,0.00280909999855794,0.0015516999992541969,0.0013576999990618788,0.0007341000018641353,"[0, 0, 0]",svm,mini,True
1,0.003207599998859223,0.001382700000249315,0.0013270999988890253,0.000731400003132876,"[0, 0, 0]",svm,mini,True
1,0.004474999994272366,0.0013556999983848073,0.00131639999744948,0.0007248999972944148,"[0, 0, 0]",svm,mini,True
1,0.0030834999997750856,0.0013686000020243227,0.001366999997117091,0.0008282999988296069,"[0, 0, 0]",svm,mini,True
1,0.0038387000022339635,0.0029359000036492944,0.001508800000010524,0.0007451000055880286,"[0, 0, 0]",svm,mini,True
1,0.0032645999963278882,0.0013612000038847327,0.001276700000744313,0.0007342999961110763,"[0, 0, 0]",svm,mini,True
1,0.003874100002576597,0.001356200002192054,0.0013723000010941178,0.0009907999992719851,"[0, 0, 0]",svm,mini,True
1,0.003495099997962825,0.0013517999977921136,0.0013909999979659915,0.0007829999958630651,"[0, 0, 0]",svm,mini,True
1,0.002813499995681923,0.0013477000029524788,0.0014559999981429428,0.0007769999938318506,"[0, 0, 0]",svm,mini,True
1,0.006934100005310029,0.001357799999823328,0.0012888000055681914,0.000723099998140242,"[0, 0, 0]",svm,mini,True
1,0.008394699994823895,0.0013399000017670915,0.0012736999997287057,0.0007175999999162741,"[0, 0, 0]",svm,mini,True
1,0.003501000006508548,0.0013502000001608394,0.001273800000490155,0.0008311999990837649,"[0, 0, 0]",svm,mini,True
1,0.0032099000018206425,0.0014929999961168505,0.0018590000036056153,0.0011914999995497055,"[0, 0, 0]",svm,mini,True
1,0.003139499996905215,0.00223829999595182,0.001361300004646182,0.0008337999970535748,"[0, 0, 0]",svm,mini,True
1,0.003781199993682094,0.0013550000003306195,0.0012694000033661723,0.0007179000022006221,"[0, 0, 0]",svm,mini,True
1,0.0034623999963514507,0.0013522999943234026,0.0012771000037901103,0.0007292000009329058,"[0, 0, 0]",svm,mini,True
1,0.0030552000025636517,0.0013689999977941625,0.00156309999874793,0.0009747000003699213,"[0, 0, 0]",svm,mini,True
1,0.0032385000013164245,0.0013516000035451725,0.0015432000000146218,0.000808300006610807,"[0, 0, 0]",svm,mini,True
1,0.004079099999216851,0.0019065000014961697,0.0013056999960099347,0.000748499995097518,"[0, 0, 0]",svm,mini,True
1,0.004327200003899634,0.0013413999986369163,0.0012729999943985604,0.0007293000016943552,"[0, 0, 0]",svm,mini,True
1,0.0033672999998088926,0.0013843000051565468,0.0012692000018432736,0.0008298999964608811,"[0, 0, 0]",svm,mini,True
1,0.002981900004670024,0.001387000003887806,0.0013614999988931231,0.0008540999988326803,"[0, 0, 0]",svm,mini,True
1,0.0074695000002975576,0.0015012000003480352,0.0012986999936401844,0.0015081000019563362,"[0, 0, 0]",svm,mini,True
1,0.002951299997221213,0.0013446000011754222,0.0014903000046615489,0.0008015999992494471,"[0, 0, 0]",svm,mini,True
1,0.0030035000017960556,0.001339600006758701,0.0016453999996883795,0.0009108000012929551,"[0, 0, 0]",svm,mini,True
1,0.005259800003841519,0.001399900000251364,0.001400399996782653,0.0007654999935766682,"[0, 0, 0]",svm,mini,True
1,0.004120600002352148,0.0013588999936473556,0.0013510999997379258,0.0015358999953605235,"[0, 0, 0]",svm,mini,True
1,0.002972299997054506,0.0013554000033764169,0.0014817000046605244,0.0007874000002630055,"[0, 0, 0]",svm,mini,True
1,0.0034050999965984374,0.0015115999995032325,0.001313499997195322,0.0007227000023704022,"[0, 0, 0]",svm,mini,True
1,0.00382030000037048,0.0013427999947452918,0.0012786000006599352,0.0007198000021162443,"[0, 0, 0]",svm,mini,True
1,0.003802499995799735,0.0013359000004129484,0.0012666000038734637,0.0007180999964475632,"[0, 0, 0]",svm,mini,True
1,0.003444800000579562,0.0016220999968936667,0.002100600002449937,0.0007847000015317462,"[0, 0, 0]",svm,mini,True
1,0.0032634000017424114,0.0014601000002585351,0.00135009999939939,0.0007329000000027008,"[0, 0, 0]",svm,mini,True
1,0.002814100000250619,0.0014007999998284504,0.0013255000012577511,0.0007220999978017062,"[0, 0, 0]",svm,mini,True
1,0.006030500000633765,0.0013682999997399747,0.0012780999968526885,0.0007215000005089678,"[0, 0, 0]",svm,mini,True
1,0.00328839999565389,0.0013439000031212345,0.0012685999972745776,0.0010103000022354536,"[0, 0, 0]",svm,mini,True
1,0.003661999995529186,0.001371300000755582,0.002071099996101111,0.000933999996050261,"[0, 0, 0]",svm,mini,True
1,0.00278950000210898,0.0016937999971560203,0.0013252999997348525,0.0007244000007631257,"[0, 0, 0]",svm,mini,True
1,0.0034324000007472932,0.0013421000039670616,0.001317300004302524,0.0007541000013588928,"[0, 0, 0]",svm,mini,True
