batch_size,time_taken_embed,time_taken_law,time_taken_finance,time_taken_healthcare,results,model_name,embedding_model,embedding
1,0.019536899999366142,0.0008115999953588471,0.0006663000021944754,0.0004588000010699034,"[0, 0, 0]",svm,baai,True
1,0.02126000000134809,0.0007617999945068732,0.0009706999990157783,0.0005013999980292283,"[0, 0, 0]",svm,baai,True
1,0.0161526000010781,0.0008246000070357695,0.0006611999997403473,0.0004544000039459206,"[0, 0, 0]",svm,baai,True
1,0.017632499999308493,0.0007681999995838851,0.0006597000028705224,0.00045929999760119244,"[0, 0, 0]",svm,baai,True
1,0.016357200001948513,0.0007683000003453344,0.0006627000038861297,0.0004585999995470047,"[0, 0, 0]",svm,baai,True
1,0.01703379999526078,0.0007661000054213218,0.0007227000023704022,0.0004826000003959052,"[0, 0, 0]",svm,baai,True
1,0.01609900000039488,0.0007752999954391271,0.0007585999992443249,0.0004984999977750704,"[0, 0, 0]",svm,baai,True
1,0.016614099993603304,0.001065999997081235,0.0008207000064430758,0.0005678999950760044,"[0, 0, 0]",svm,baai,True
1,0.015573600001516752,0.00075970000034431,0.0008347999973921105,0.000632499999483116,"[0, 0, 0]",svm,baai,True
1,0.018461200001183897,0.0007759000000078231,0.0006596999955945648,0.00045200000022305176,"[0, 0, 0]",svm,baai,True
1,0.016401399996539112,0.0007689999983995222,0.0006563999995705672,0.000450999999884516,"[0, 0, 0]",svm,baai,True
1,0.01732619999529561,0.0007727999982307665,0.0006554999999934807,0.0004534999970928766,"[0, 0, 0]",svm,baai,True
1,0.01696310000261292,0.0007601000033901073,0.0006615000020246953,0.0012005000025965273,"[0, 0, 0]",svm,baai,True
1,0.020765699999174103,0.0008283999995910563,0.0006865999966976233,0.0004541000016615726,"[0, 0, 0]",svm,baai,True
1,0.015959500000462867,0.0007839000027161092,0.0006566000010934658,0.00045200000022305176,"[0, 0, 0]",svm,baai,True
1,0.016639300003589597,0.0007668000034755096,0.0006506999998237006,0.00046239999937824905,"[0, 0, 0]",svm,baai,True
1,0.01665090000460623,0.0007578999939141795,0.0011487999945529737,0.0004928999987896532,"[0, 0, 0]",svm,baai,True
1,0.018338000001676846,0.0007785000052535906,0.0006596000021090731,0.00045279999903868884,"[0, 0, 0]",svm,baai,True
1,0.016731100004108157,0.0007671999992453493,0.0006609000047319569,0.0004628000024240464,"[0, 0, 0]",svm,baai,True
1,0.016496800002641976,0.0007678000038140453,0.0006550999969476834,0.00045309999404707924,"[0, 0, 0]",svm,baai,True
1,0.01651319999655243,0.0007649999970453791,0.0006642000007559545,0.000454699998954311,"[0, 0, 0]",svm,baai,True
1,0.019333399999595713,0.0014450999951804988,0.0008716000011190772,0.0005250999965937808,"[0, 0, 0]",svm,baai,True
1,0.016874900000402704,0.0009385000012116507,0.0006830999991507269,0.00045560000580735505,"[0, 0, 0]",svm,baai,True
1,0.017453499996918254,0.0007700999994995072,0.0006857999978819862,0.00046579999616369605,"[0, 0, 0]",svm,baai,True
1,0.015896700002485886,0.0007698999979766086,0.0006573999999091029,0.0004523999959928915,"[0, 0, 0]",svm,baai,True
1,0.01759909999964293,0.0007744000031379983,0.0006601999994018115,0.00045650000538444147,"[0, 0, 0]",svm,baai,True
1,0.016163000000233296,0.0007682999930693768,0.0006589999975403771,0.0004576999999699183,"[0, 0, 0]",svm,baai,True
1,0.024017199997615535,0.0009011000001919456,0.000701700002537109,0.0004569000011542812,"[0, 0, 0]",svm,baai,True
1,0.046644000001833774,0.0012362999987090006,0.0007018000032985583,0.00046209999709390104,"[0, 0, 0]",svm,baai,True
1,0.026432300001033582,0.0008989999987534247,0.0007105999975465238,0.00046190000284696,"[0, 0, 0]",svm,baai,True
1,0.028164499999547843,0.0015708999999333173,0.0008749000044190325,0.0005330999993020669,"[0, 0, 0]",svm,baai,True
1,0.02045259999431437,0.0007652999993297271,0.0031864000047789887,0.0005027000006521121,"[0, 0, 0]",svm,baai,True
1,0.016851399996085092,0.0007607000006828457,0.0006573000064236112,0.00046209999709390104,"[0, 0, 0]",svm,baai,True
1,0.017229900004167575,0.0007774999976390973,0.0006653000018559396,0.0004571000026771799,"[0, 0, 0]",svm,baai,True
1,0.03020490000199061,0.0008970000053523108,0.0012432999938027933,0.000592699994740542,"[0, 0, 0]",svm,baai,True
1,0.01967369999329094,0.0008315000013681129,0.0006882000016048551,0.0004695999959949404,"[0, 0, 0]",svm,baai,True
1,0.0165807000012137,0.0007590000022901222,0.0006648000053246506,0.0004528999998001382,"[0, 0, 0]",svm,baai,True
1,0.036044299995410256,0.0014290999970398843,0.000821399997221306,0.00059710000641644,"[0, 0, 0]",svm,baai,True
1,0.01908510000066599,0.0007623999990755692,0.0006559999965247698,0.0004687000036938116,"[0, 0, 0]",svm,baai,True
1,0.02307029999792576,0.0007675000015296973,0.0006656000041402876,0.0006945999994059093,"[0, 0, 0]",svm,baai,True
1,0.01599749999877531,0.0007654000000911765,0.0008681000035721809,0.0005181000014999881,"[0, 0, 0]",svm,baai,True
1,0.018389999997452833,0.0009606999956304207,0.0006792999993194826,0.00045230000250739977,"[0, 0, 0]",svm,baai,True
1,0.03731790000165347,0.0007802999971318059,0.0006630999996559694,0.000455000001238659,"[0, 0, 0]",svm,baai,True
1,0.02124589999584714,0.0007836000004317611,0.0006562999988091178,0.0004530000005615875,"[0, 0, 0]",svm,baai,True
1,0.01730229999520816,0.0007657999958610162,0.0009059999938472174,0.0005973000006633811,"[0, 0, 0]",svm,baai,True
1,0.03150949999690056,0.0007722000009380281,0.0006587000025319867,0.0004551999954856001,"[0, 0, 0]",svm,baai,True
1,0.019211499995435588,0.0008385999972233549,0.000777699999161996,0.0004923999949824065,"[0, 0, 0]",svm,baai,True
1,0.01960770000005141,0.0007590000022901222,0.0008005999989109114,0.0004626000009011477,"[0, 0, 0]",svm,baai,True
1,0.016488100001879502,0.0008071000047493726,0.0006559999965247698,0.00046189999557100236,"[0, 0, 0]",svm,baai,True
1,0.022238199999264907,0.0010141999955521896,0.0007117999994079582,0.0005355000030249357,"[0, 0, 0]",svm,baai,True
