model,domain,embed_model,embeedding,f1,accuracy,train_accuracy,recall,precision,cost,latency,date,batch_size
XGBoost,ml_questions,mini,True,0.0,99.22,0.0,0.0,0.0,0.0,28464.0625,2025-04-28 16:26:35.853481,1
XGBoost,jigsaw,mini,True,0.0,81.74,0.0,0.0,0.0,0.0,34801.4312383323,2025-04-28 16:27:26.353094,1
XGBoost,olid,mini,True,0.0,82.09,0.0,0.0,0.0,0.0,34687.32558139535,2025-04-28 16:27:26.487622,1
XGBoost,hate_xplain,mini,True,0.0,80.67,0.0,0.0,0.0,0.0,30939.460825610782,2025-04-28 16:27:26.799700,1
XGBoost,tuke_sk,mini,True,0.0,81.65,0.0,0.0,0.0,0.0,33860.062565172055,2025-04-28 16:27:26.942169,1
XGBoost,dkk,mini,True,0.0,82.07,0.0,0.0,0.0,0.0,43846.504559270514,2025-04-28 16:27:27.057321,1
XGBoost,web_questions,mini,True,0.0,99.11,0.0,0.0,0.0,0.0,28204.872047244095,2025-04-28 16:27:27.233372,1
XGBoost,ml_questions,mini,True,0.0,99.22,0.0,0.0,0.0,0.0,80261.71875,2025-04-28 16:27:27.360293,1
XGBoost,jigsaw,mini,True,0.0,81.74,0.0,0.0,0.0,0.0,11972.121966397013,2025-04-28 16:32:30.129275,1
XGBoost,olid,mini,True,0.0,82.09,0.0,0.0,0.0,0.0,12779.418604651162,2025-04-28 16:32:30.252559,1
XGBoost,hate_xplain,mini,True,0.0,80.67,0.0,0.0,0.0,0.0,5409.165964616681,2025-04-28 16:32:30.424539,1
XGBoost,tuke_sk,mini,True,0.0,81.65,0.0,0.0,0.0,0.0,10741.710114702815,2025-04-28 16:32:30.567420,1
XGBoost,dkk,mini,True,0.0,82.07,0.0,0.0,0.0,0.0,14046.504559270517,2025-04-28 16:32:30.683616,1
XGBoost,web_questions,mini,True,0.0,99.11,0.0,0.0,0.0,0.0,4914.5177165354335,2025-04-28 16:32:30.824199,1
XGBoost,ml_questions,mini,True,0.0,99.22,0.0,0.0,0.0,0.0,36386.71875,2025-04-28 16:32:30.943988,1
XGBoost,jigsaw,mini,True,0.0,81.74,0.0,0.0,0.0,0.0,7659.551960174238,2025-04-28 16:32:55.905,1
XGBoost,olid,mini,True,0.0,82.09,0.0,0.0,0.0,0.0,8926.744186046511,2025-04-28 16:32:56.024132,1
XGBoost,hate_xplain,mini,True,0.0,80.67,0.0,0.0,0.0,0.0,5536.832350463353,2025-04-28 16:32:56.186699,1
XGBoost,tuke_sk,mini,True,0.0,81.65,0.0,0.0,0.0,0.0,8765.172054223149,2025-04-28 16:32:56.320563,1
XGBoost,dkk,mini,True,0.0,82.07,0.0,0.0,0.0,0.0,22020.66869300912,2025-04-28 16:32:56.441897,1
XGBoost,web_questions,mini,True,0.0,99.11,0.0,0.0,0.0,0.0,5322.047244094489,2025-04-28 16:32:56.585630,1
XGBoost,ml_questions,mini,True,0.0,99.22,0.0,0.0,0.0,0.0,394489.84375,2025-04-28 16:32:56.755244,1
XGBoost,jigsaw,tf_idf,True,0.0,80.12,0.0,0.0,0.0,0.0,5541.661481020536,2025-04-28 16:32:56.918019,1
XGBoost,olid,tf_idf,True,0.0,99.53,0.0,0.0,0.0,0.0,8886.046511627907,2025-04-28 16:32:57.041203,1
XGBoost,hate_xplain,tf_idf,True,0.0,77.07,0.0,0.0,0.0,0.0,4338.315080033698,2025-04-28 16:32:57.191552,1
XGBoost,tuke_sk,tf_idf,True,0.0,98.75,0.0,0.0,0.0,0.0,4250.573514077164,2025-04-28 16:32:57.310591,1
XGBoost,dkk,tf_idf,True,0.0,96.05,0.0,0.0,0.0,0.0,9184.49848024316,2025-04-28 16:32:57.423525,1
XGBoost,web_questions,tf_idf,True,0.0,99.8,0.0,0.0,0.0,0.0,5870.7677165354335,2025-04-28 16:32:57.711766,1
XGBoost,ml_questions,tf_idf,True,0.0,98.44,0.0,0.0,0.0,0.0,15026.5625,2025-04-28 16:32:57.822461,1
XGBoost,jigsaw,baai,True,0.0,72.65,0.0,0.0,0.0,0.0,5048.133167392657,2025-04-28 16:32:58.002565,1
XGBoost,olid,baai,True,0.0,69.88,0.0,0.0,0.0,0.0,9264.302325581395,2025-04-28 16:32:58.202550,1
XGBoost,hate_xplain,baai,True,0.0,57.81,0.0,0.0,0.0,0.0,8351.996630160067,2025-04-28 16:32:58.392628,1
XGBoost,tuke_sk,baai,True,0.0,49.01,0.0,0.0,0.0,0.0,8641.91866527633,2025-04-28 16:32:58.518781,1
XGBoost,dkk,baai,True,0.0,57.75,0.0,0.0,0.0,0.0,9331.91489361702,2025-04-28 16:32:58.638605,1
XGBoost,web_questions,baai,True,0.0,99.06,0.0,0.0,0.0,0.0,7871.8011811023625,2025-04-28 16:32:58.789453,1
XGBoost,ml_questions,baai,True,0.0,100.0,0.0,0.0,0.0,0.0,34221.875,2025-04-28 16:32:58.902521,1
