timestamp,model,model_key,embedding,variant,rule,seed,tau,id_acc,gqr_bench_ood_acc,gqr_bench,new_ood_acc,gqr_new,acc_trec,acc_agnews_ws,acc_rotten_tomatoes,acc_codealpaca,acc_gsm8k,acc_yahoo_se,acc_tweets,banking77_reject,banking77_finance,banking77_law,banking77_healthcare
20260819_160911,WideMLP,widemlp,own,ctrl3,argmax,22,,0.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8573,0.0523,0.0905
20260819_160911,WideMLP,widemlp,own,ctrl3,msp,22,0.90827,0.9794,0.7744,0.8649,0.8426,0.9059,0.7218,0.975,0.92,0.7778,0.914,0.8008,0.789,0.3668,0.6121,0.005,0.0161
20260819_160955,BERT-multilingual,bert,own,oe4,argmax,22,,0.9964,0.5457,0.7052,0.8305,0.9059,0.9758,0.699,0.963,0.959,0.96,0.6917,0.565,0.2211,0.7628,0.003,0.0131
20260819_160955,BERT-multilingual,bert,own,oe4,tau,22,0.00769,0.9783,0.8424,0.9053,0.9257,0.9513,0.998,0.851,0.986,0.994,0.994,0.8529,0.804,0.5407,0.4533,0.002,0.004
20260819_161005,BERT-multilingual,bert,own,ctrl3,argmax,22,,0.9991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9648,0.004,0.0312
20260819_161005,BERT-multilingual,bert,own,ctrl3,msp,22,0.99947,0.9812,0.6968,0.8149,0.7319,0.8384,0.2016,0.821,0.943,0.7608,0.902,0.7207,0.774,0.2492,0.7497,0.0,0.001
20260819_161118,ModernBERT,modernbert,own,oe4,argmax,22,,0.9974,0.4285,0.5995,0.8519,0.919,0.9839,0.99,0.986,0.951,0.937,0.8258,0.29,0.1005,0.8693,0.0,0.0302
20260819_161118,ModernBERT,modernbert,own,oe4,tau,22,0.01067,0.9806,0.7156,0.8274,0.9314,0.9554,0.998,0.997,1.0,0.995,0.99,0.9239,0.616,0.2633,0.7236,0.0,0.0131
20260819_161156,ModernBERT,modernbert,own,ctrl3,argmax,22,,0.9998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9799,0.001,0.0191
20260819_161156,ModernBERT,modernbert,own,ctrl3,msp,22,0.99997,0.9822,0.7028,0.8194,0.9381,0.9597,0.871,0.989,0.951,0.9389,0.985,0.9369,0.895,0.2804,0.7196,0.0,0.0
