model,accuracy,train_accuracy,recall,precision,cost,latency,date
gpt4o-mini_law_ada-002,98.22,0.98225,99.35,94.38,0.042147150000003554,667844755.4475,2025-03-08 16:04:08.737958
modernbert_law_bert-base,93.72,0.9372,87.26,89.88,0.0,26069447.226033334,2025-03-08 16:17:52.402576
gpt4o-mini_healthcare_ada-002,96.5,0.965,99.23,87.21,0.022745249999999783,661240296.759,2025-03-08 17:15:34.810722
modernbert_healthcare_bert-base,93.39,0.9339333333333333,82.55,88.9,0.0,24723022.035066668,2025-03-08 17:28:42.935533
gpt4o-mini_finance_ada-002,71.4,0.714,46.49,82.6,0.010703849999999527,605775028.4875,2025-03-08 18:22:57.438503
modernbert_finance_bert-base,69.48,0.6947666666666666,38.78,86.2,0.0,24693201.672,2025-03-08 18:36:12.063147
fastText_law_fastText,98.31,0.9834285714285714,97.98,98.63,0.0,17202.051666666666,2025-03-08 18:36:19.642594
SVM_law_mini,99.82,0.9992380952380953,99.82,99.82,0.0,1422056.3214444444,2025-03-08 18:37:53.393973
XGBoost_law_mini,99.8,1.0,99.89,99.71,0.0,1341654.872888889,2025-03-08 18:37:59.569687
SVM_law_baai,99.7,0.9982857142857143,99.8,99.6,0.0,1837816.9125555556,2025-03-08 18:55:49.004972
XGBoost_law_baai,99.7,1.0,99.84,99.56,0.0,1892040.988111111,2025-03-08 18:55:56.085259
fastText_healthcare_fastText,98.43,0.9844285714285714,98.42,98.39,0.0,12135.839777777777,2025-03-08 18:56:00.796974
SVM_healthcare_mini,99.47,0.9974285714285714,99.3,99.61,0.0,1294674.1414444444,2025-03-08 18:57:24.981048
XGBoost_healthcare_mini,99.76,0.9999047619047619,99.71,99.8,0.0,1259659.9712222223,2025-03-08 18:57:31.440603
SVM_healthcare_baai,99.44,0.9955714285714286,99.14,99.73,0.0,912982.7472222222,2025-03-08 19:06:41.421390
XGBoost_healthcare_baai,99.68,0.9999047619047619,99.68,99.66,0.0,994086.7927777776,2025-03-08 19:06:48.254876
fastText_finance_fastText,93.08,0.930952380952381,91.06,95.05,0.0,8629.665555555555,2025-03-08 19:06:51.271096
SVM_finance_mini,98.19,0.9848571428571429,99.23,97.24,0.0,1290968.4006666667,2025-03-08 19:09:33.703504
XGBoost_finance_mini,99.12,0.9999523809523809,99.45,98.82,0.0,682506.526111111,2025-03-08 19:09:43.418014
SVM_finance_baai,97.74,0.976047619047619,98.7,96.89,0.0,962427.8962222222,2025-03-08 19:17:07.179672
XGBoost_finance_baai,99.33,0.9999523809523809,99.52,99.17,0.0,594656.3688888889,2025-03-08 19:17:15.698825
