model,accuracy,train_accuracy,recall,precision,cost,latency,date
XGBoost_dkk_mini-32,57.45,0.0,0.0,0.0,0.0,2202552.1818181816,2025-04-19 12:36:57.885707
SVM_dkk_mini-64,37.99,0.0,0.0,0.0,0.0,49853052.833333336,2025-04-19 12:36:58.295165
XGBoost_dkk_mini-64,57.45,0.0,0.0,0.0,0.0,2720036.3333333335,2025-04-19 12:36:58.424305
SVM_dkk_mini-128,37.99,0.0,0.0,0.0,0.0,98760488.66666667,2025-04-19 12:36:58.822157
XGBoost_dkk_mini-128,57.45,0.0,0.0,0.0,0.0,3439095.3333333335,2025-04-19 12:36:58.914544
SVM_dkk_mini-256,37.99,0.0,0.0,0.0,0.0,148346135,2025-04-19 12:36:59.308501
XGBoost_dkk_mini-256,57.45,0.0,0.0,0.0,0.0,2150881.5,2025-04-19 12:36:59.400038
SVM_web_questions_mini-1,81.89,0.0,0.0,0.0,0.0,1879406.7736220472,2025-04-19 12:37:07.300770
XGBoost_web_questions_mini-1,95.47,0.0,0.0,0.0,0.0,1647772.5693897638,2025-04-19 12:37:07.399254
SVM_web_questions_mini-16,81.89,0.0,0.0,0.0,0.0,15615811.897637796,2025-04-19 12:37:09.738423
XGBoost_web_questions_mini-16,95.47,0.0,0.0,0.0,0.0,1964378.0157480314,2025-04-19 12:37:09.872139
SVM_web_questions_mini-32,81.89,0.0,0.0,0.0,0.0,30679580.828125,2025-04-19 12:37:12.138811
XGBoost_web_questions_mini-32,95.47,0.0,0.0,0.0,0.0,3053975.671875,2025-04-19 12:37:12.242443
SVM_web_questions_mini-64,81.89,0.0,0.0,0.0,0.0,59701055.65625,2025-04-19 12:37:16.752193
XGBoost_web_questions_mini-64,95.47,0.0,0.0,0.0,0.0,2664839.6875,2025-04-19 12:37:16.849549
SVM_web_questions_mini-128,81.89,0.0,0.0,0.0,0.0,115815604.8125,2025-04-19 12:37:18.856016
XGBoost_web_questions_mini-128,95.47,0.0,0.0,0.0,0.0,3558446.4375,2025-04-19 12:37:19.005618
SVM_web_questions_mini-256,81.89,0.0,0.0,0.0,0.0,234450544.25,2025-04-19 12:37:21.002246
XGBoost_web_questions_mini-256,95.47,0.0,0.0,0.0,0.0,3096903.75,2025-04-19 12:37:21.156922
SVM_ml_questions_mini-1,94.53,0.0,0.0,0.0,0.0,1849384.4140625,2025-04-19 12:37:22.046736
XGBoost_ml_questions_mini-1,89.84,0.0,0.0,0.0,0.0,1690284.3125,2025-04-19 12:37:22.135788
SVM_ml_questions_mini-16,94.53,0.0,0.0,0.0,0.0,19451897.875,2025-04-19 12:37:22.436828
XGBoost_ml_questions_mini-16,89.84,0.0,0.0,0.0,0.0,6762497.75,2025-04-19 12:37:22.527776
SVM_ml_questions_mini-32,94.53,0.0,0.0,0.0,0.0,34708277,2025-04-19 12:37:22.772877
XGBoost_ml_questions_mini-32,89.84,0.0,0.0,0.0,0.0,3276327.75,2025-04-19 12:37:22.861944
SVM_ml_questions_mini-64,94.53,0.0,0.0,0.0,0.0,64508282.5,2025-04-19 12:37:23.084503
XGBoost_ml_questions_mini-64,89.84,0.0,0.0,0.0,0.0,2590930,2025-04-19 12:37:23.226948
SVM_ml_questions_mini-128,94.53,0.0,0.0,0.0,0.0,129738089,2025-04-19 12:37:23.447724
XGBoost_ml_questions_mini-128,89.84,0.0,0.0,0.0,0.0,5737292,2025-04-19 12:37:23.537551
SVM_ml_questions_mini-256,94.53,0.0,0.0,0.0,0.0,124384684,2025-04-19 12:37:23.753446
XGBoost_ml_questions_mini-256,89.84,0.0,0.0,0.0,0.0,3815814,2025-04-19 12:37:23.842322
SVM_jigsaw_baai-1,77.47,0.0,0.0,0.0,0.0,1410115.5920970752,2025-04-19 12:37:38.438091
XGBoost_jigsaw_baai-1,81.95,0.0,0.0,0.0,0.0,1450239.3634100808,2025-04-19 12:37:38.542282
SVM_jigsaw_baai-16,77.47,0.0,0.0,0.0,0.0,10320536.233830845,2025-04-19 12:37:41.235325
XGBoost_jigsaw_baai-16,81.95,0.0,0.0,0.0,0.0,2574571.4527363186,2025-04-19 12:37:41.330611
SVM_jigsaw_baai-32,77.47,0.0,0.0,0.0,0.0,18386825.534653466,2025-04-19 12:37:43.511416
XGBoost_jigsaw_baai-32,81.95,0.0,0.0,0.0,0.0,2265668.891089109,2025-04-19 12:37:43.605686
SVM_jigsaw_baai-64,77.47,0.0,0.0,0.0,0.0,34668478.058823526,2025-04-19 12:37:45.690026
XGBoost_jigsaw_baai-64,81.95,0.0,0.0,0.0,0.0,4420432.960784313,2025-04-19 12:37:45.786130
SVM_jigsaw_baai-128,77.47,0.0,0.0,0.0,0.0,69484163.92307693,2025-04-19 12:37:50.490218
XGBoost_jigsaw_baai-128,81.95,0.0,0.0,0.0,0.0,5156942.615384615,2025-04-19 12:37:50.586768
SVM_jigsaw_baai-256,77.47,0.0,0.0,0.0,0.0,140591069,2025-04-19 12:37:52.542217
XGBoost_jigsaw_baai-256,81.95,0.0,0.0,0.0,0.0,3137090.230769231,2025-04-19 12:37:52.638233
SVM_olid_baai-1,75.0,0.0,0.0,0.0,0.0,1437609.0197674418,2025-04-19 12:37:55.774704
XGBoost_olid_baai-1,68.26,0.0,0.0,0.0,0.0,1584672.1872093023,2025-04-19 12:37:55.863382
SVM_olid_baai-16,75.0,0.0,0.0,0.0,0.0,11288351.703703703,2025-04-19 12:37:56.980346
XGBoost_olid_baai-16,68.26,0.0,0.0,0.0,0.0,2329709.2592592593,2025-04-19 12:37:57.080400
SVM_olid_baai-32,75.0,0.0,0.0,0.0,0.0,20834521.48148148,2025-04-19 12:37:57.839187
XGBoost_olid_baai-32,68.26,0.0,0.0,0.0,0.0,3777805.5555555555,2025-04-19 12:37:57.937251
SVM_olid_baai-64,75.0,0.0,0.0,0.0,0.0,37539787.571428575,2025-04-19 12:37:58.589779
XGBoost_olid_baai-64,68.26,0.0,0.0,0.0,0.0,2793672.785714286,2025-04-19 12:37:58.680349
SVM_olid_baai-128,75.0,0.0,0.0,0.0,0.0,77007592.57142857,2025-04-19 12:37:59.330153
XGBoost_olid_baai-128,68.26,0.0,0.0,0.0,0.0,2915211.5714285714,2025-04-19 12:37:59.421884
SVM_olid_baai-256,75.0,0.0,0.0,0.0,0.0,131906330.75,2025-04-19 12:38:00.052947
XGBoost_olid_baai-256,68.26,0.0,0.0,0.0,0.0,3461506.25,2025-04-19 12:38:00.176399
SVM_hate_xplain_baai-1,63.81,0.0,0.0,0.0,0.0,1411787.149115417,2025-04-19 12:38:22.435035
XGBoost_hate_xplain_baai-1,72.15,0.0,0.0,0.0,0.0,1550265.0183656276,2025-04-19 12:38:22.550027
SVM_hate_xplain_baai-16,63.81,0.0,0.0,0.0,0.0,10504712.727762803,2025-04-19 12:38:27.477228
XGBoost_hate_xplain_baai-16,72.15,0.0,0.0,0.0,0.0,2428633.5929919137,2025-04-19 12:38:27.585899
SVM_hate_xplain_baai-32,63.81,0.0,0.0,0.0,0.0,19440630.580645163,2025-04-19 12:38:31.786794
XGBoost_hate_xplain_baai-32,72.15,0.0,0.0,0.0,0.0,2516966.865591398,2025-04-19 12:38:31.897827
SVM_hate_xplain_baai-64,63.81,0.0,0.0,0.0,0.0,37876530.96774194,2025-04-19 12:38:35.817926
XGBoost_hate_xplain_baai-64,72.15,0.0,0.0,0.0,0.0,3089346.193548387,2025-04-19 12:38:35.924614
SVM_hate_xplain_baai-128,63.81,0.0,0.0,0.0,0.0,72007726.31914894,2025-04-19 12:38:39.670742
XGBoost_hate_xplain_baai-128,72.15,0.0,0.0,0.0,0.0,5445466.936170213,2025-04-19 12:38:39.776024
SVM_hate_xplain_baai-256,63.81,0.0,0.0,0.0,0.0,140965222.08333334,2025-04-19 12:38:43.337947
XGBoost_hate_xplain_baai-256,72.15,0.0,0.0,0.0,0.0,3284184.4166666665,2025-04-19 12:38:43.443381
SVM_tuke_sk_baai-1,63.82,0.0,0.0,0.0,0.0,1365950.0187695515,2025-04-19 12:38:47.804432
XGBoost_tuke_sk_baai-1,59.02,0.0,0.0,0.0,0.0,1489414.9343065694,2025-04-19 12:38:47.899493
SVM_tuke_sk_baai-16,63.82,0.0,0.0,0.0,0.0,11354802.466666667,2025-04-19 12:38:48.822045
