model,accuracy,train_accuracy,recall,precision,cost,latency,date
gpt4o-mini_law_ada-002,76.02,0.76025,55.68,50.84,0.05016555000000514,444169060.417,2025-03-27 20:35:18.624330
modernbert_law_bert-base,93.62,0.9362,86.96,87.29,0.0,26131339.350633334,2025-03-27 20:49:08.199345
gpt4o-mini_healthcare_ada-002,91.05,0.9105,72.69,81.83,0.04789230000000482,390082276.557,2025-03-27 21:39:05.605401
modernbert_healthcare_bert-base,94.78,0.9478,81.62,91.84,0.0,25677493.490666665,2025-03-27 21:52:47.641661
gpt4o-mini_finance_ada-002,80.08,0.80075,72.62,89.64,0.04672530000000425,857855557.68775,2025-03-27 23:23:16.251475
modernbert_finance_bert-base,63.07,0.6306666666666667,38.47,87.81,0.0,26347498.001733333,2025-03-27 23:37:01.904951
fastText_law_fastText,99.74,0.9981904761904762,99.51,99.71,0.0,102931.76607407407,2025-03-28 11:19:32.616897
SVM_law_mini,99.87,0.9941269841269842,99.71,99.91,0.0,484327.96574597765,2025-03-28 11:22:12.356650
XGBoost_law_mini,99.88,0.9917460317460318,99.75,99.89,0.0,463192.55004227394,2025-03-28 11:22:30.764434
SVM_law_baai,99.83,0.9931746031746032,99.6,99.89,0.0,401752.40829701355,2025-03-28 11:24:58.857167
XGBoost_law_baai,99.79,0.984920634920635,99.58,99.78,0.0,552049.7660007173,2025-03-28 11:25:18.901460
fastText_healthcare_fastText,99.84,0.9991746031746032,99.62,99.89,0.0,19282.157185185184,2025-03-28 11:31:01.439853
SVM_healthcare_mini,99.93,0.9966666666666667,99.91,99.89,0.0,317137.5624614462,2025-03-28 11:32:43.575604
XGBoost_healthcare_mini,99.9,0.9947619047619047,99.8,99.91,0.0,459183.0488318166,2025-03-28 11:32:58.741264
SVM_healthcare_baai,99.92,0.9973015873015874,99.86,99.89,0.0,289181.7058486514,2025-03-28 11:34:46.998192
XGBoost_healthcare_baai,99.92,0.9933333333333334,99.84,99.91,0.0,477830.7846634662,2025-03-28 11:35:03.799545
fastText_finance_fastText,99.71,0.9986031746031746,99.53,99.6,0.0,78638.70037037037,2025-03-28 11:41:39.298156
SVM_finance_mini,99.93,0.9958730158730159,99.93,99.84,0.0,490978.0673874944,2025-03-28 11:44:20.738707
XGBoost_finance_mini,99.86,0.9923809523809524,99.89,99.69,0.0,437636.9347949018,2025-03-28 11:44:37.814786
SVM_finance_baai,99.85,0.9966666666666667,99.84,99.71,0.0,353518.58921853267,2025-03-28 11:46:54.424247
XGBoost_finance_baai,99.87,0.9892063492063492,99.89,99.73,0.0,419303.5733666808,2025-03-28 11:47:09.638062
