model,domain,accuracy,recall,precision,cost,latency,log_latency
SVM,finance,98.18666666666667,95.75666666666666,98.83333333333333,0.0,1442.3705493756524,3.159076846289069
SVM,healthcare,98.96999999999998,97.14333333333333,99.7,0.0,1302.0340485439935,3.1146223412993224
SVM,law,98.282,95.588,99.23400000000001,0.0,1859.152679883117,3.2693150569628298
XGBoost,finance,97.52,98.25666666666666,94.72333333333334,0.0,9.985182375652357,0.9993560015067839
XGBoost,healthcare,97.80666666666666,95.03666666666668,98.18,0.0,9.73260054399345,0.9882288989533637
XGBoost,law,97.98400000000001,95.53,98.336,0.0,10.035248883116617,1.001528147847304
fastText,finance,99.76,99.57,99.7,0.0,0.06942640874074074,-1.1584752991596572
fastText,healthcare,99.77,99.5,99.8,0.0,0.020365073925925924,-1.6911140090710635
fastText,law,99.68,99.49,99.56,0.0,0.064359228,-1.1913891739787084
