model,accuracy,train_accuracy,recall,precision,cost,latency,date
MLP-ONNX_jigsaw_MiniLM-L12,61.54,0.0,0.0,0.0,0.0,26577154.22744244,2025-04-13 14:31:23.775075
MLP-ONNX_olid_MiniLM-L12,45.53,0.0,0.0,0.0,0.0,17117031.63849658,2025-04-13 14:35:35.864203
MLP-ONNX_hate_xplain_MiniLM-L12,61.16,0.0,0.0,0.0,0.0,20916246.20606571,2025-04-13 14:37:52.923918
MLP-ONNX_tuke_sk_MiniLM-L12,98.19,0.0,0.0,0.0,0.0,23760298.123710144,2025-04-13 14:41:40.562205
MLP-ONNX_dkk_MiniLM-L12,92.68,0.0,0.0,0.0,0.0,36880030.65853658,2025-04-13 14:41:42.214393
MLP-ONNX_dkk_all_MiniLM-L12,88.75,0.0,0.0,0.0,0.0,27645313.66869301,2025-04-13 14:41:54.280820
