model,accuracy,train_accuracy,recall,precision,cost,latency,date
gpt4o-mini_law_ada-002,98.47,0.98475,99.44,95.11,0.04135860000000305,752842641.3795,2025-03-09 13:57:10.382912
modernbert_law_bert-base,93.65,0.9365333333333333,86.8,89.7,0.0,25173093.2915,2025-03-09 14:10:12.437036
gpt4o-mini_healthcare_ada-002,96.33,0.96325,99.58,86.84,0.023357699999999686,563436908.22125,2025-03-09 15:00:16.209921
modernbert_healthcare_bert-base,93.16,0.9315666666666667,82.18,88.29,0.0,24356114.798866667,2025-03-09 15:12:59.976292
gpt4o-mini_finance_ada-002,71.88,0.71875,50.8,79.72,0.010678349999999524,734994707.306,2025-03-09 16:15:33.508881
modernbert_finance_bert-base,69.24,0.6924333333333333,39.48,85.67,0.0,23345289.272066668,2025-03-09 16:27:53.051141

fastText_law_fastText,98.38,0.9846190476190476,97.88,98.88,0.0,19163.637333333332,2025-03-09 16:31:38.102691
SVM_law_mini,99.8,0.9991904761904762,99.82,99.78,0.0,537957.7901723968,2025-03-09 16:33:15.826894
XGBoost_law_mini,99.71,1.0,99.73,99.69,0.0,476422.16172795236,2025-03-09 16:33:23.166583
SVM_law_baai,99.82,0.998,99.8,99.85,0.0,354597.95904271427,2025-03-09 16:47:32.346001
XGBoost_law_baai,99.78,1.0,99.89,99.67,0.0,477173.3934871587,2025-03-09 16:47:40.538157
fastText_healthcare_fastText,98.56,0.9847142857142858,98.57,98.53,0.0,13150.490555555556,2025-03-09 16:47:45.569511
SVM_healthcare_mini,99.67,0.9979523809523809,99.53,99.8,0.0,493314.79079612694,2025-03-09 16:49:18.127305
XGBoost_healthcare_mini,99.76,0.9999047619047619,99.71,99.8,0.0,499230.66057390475,2025-03-09 16:49:27.293670
SVM_healthcare_baai,99.59,0.9957619047619047,99.42,99.75,0.0,360667.43122603704,2025-03-09 16:58:33.005596
XGBoost_healthcare_baai,99.69,0.9999047619047619,99.53,99.84,0.0,471072.8448927037,2025-03-09 16:58:40.842610
fastText_finance_fastText,92.74,0.929952380952381,90.89,94.29,0.0,9606.843,2025-03-09 16:58:44.153712
SVM_finance_mini,97.93,0.9850476190476191,99.15,96.77,0.0,1148543.906125931,2025-03-09 17:01:26.959214
XGBoost_finance_mini,98.88,0.9999523809523809,99.42,98.34,0.0,476313.88157037564,2025-03-09 17:01:37.153628
SVM_finance_baai,97.24,0.9760952380952381,98.55,96.01,0.0,842076.9566315556,2025-03-09 17:08:58.122895
XGBoost_finance_baai,98.94,0.9999523809523809,99.53,98.36,0.0,445144.31452044443,2025-03-09 17:09:06.562929
